LocusID	Annotation	Start	End	Partial	Absolute_Start	Strand	Contig	Type	TIGR	TIGR_bitscore	KEGG	KEGG_bitscore	resfam	resfam_bitscore	dbCAN	dbCAN_bitscore	NRPS	NRPS_bitscore	antiSMASH	antiSMASH_bitscore	PFAM	PFAM_bitscore	actNOG	actNOG_bitscore
ICBG5|ICBG5_0000001	hypothetical protein	282	413	00	282	1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	actNOG.ENOG4100EHH.meta_raw	74.9
ICBG5|ICBG5_0000002	hypothetical protein	587	745	00	587	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	GerE	27.6	actNOG.ENOG4100I0I.meta_raw	28.7
ICBG5|ICBG5_0000003	hypothetical protein	1481	2233	00	1481	1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	actNOG.ENOG41014E3.meta_raw	141.1
ICBG5|ICBG5_0000004	hypothetical protein	2992	3957	00	2992	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	DEDD_Tnp_IS110	52.9	actNOG.ENOG4100CWJ.meta_raw	205.7
ICBG5|ICBG5_0000005	hypothetical protein	3996	4253	00	3996	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	DEDD_Tnp_IS110	31.9	actNOG.ENOG4100CWJ.meta_raw	66.8
ICBG5|ICBG5_0000006	putative ABC transport system ATP-binding protein	4447	5049	00	4447	-1	contig.1	cds	-	0.0	K02021	170.6	-	0.0	-	0.0	-	0.0	-	0.0	ABC_tran	45.0	actNOG.ENOG4100BIG.meta_raw	308.2
ICBG5|ICBG5_0000007	ATP-binding cassette, subfamily C, bacterial	5112	8231	00	5112	-1	contig.1	cds	-	0.0	K06148	769.2	ABC_efflux	234.0	-	0.0	-	0.0	-	0.0	ABC_membrane,ABC_tran,ABC_membrane	110.8,110.6,113.8	actNOG.ENOG4100BIG.meta_raw	466.2
ICBG5|ICBG5_0000008	antibiotic transport system permease protein	8363	9214	00	8363	-1	contig.1	cds	-	0.0	K09686	21.7	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	actNOG.ENOG4100IYS.meta_raw	154.5
ICBG5|ICBG5_0000009	antibiotic transport system ATP-binding protein	9211	10134	00	9211	-1	contig.1	cds	-	0.0	K09687	299.2	-	0.0	-	0.0	-	0.0	-	0.0	ABC_tran	93.1	actNOG.ENOG4100C2Q.meta_raw	409.2
ICBG5|ICBG5_0000010	K01913 family protein	10342	11901	00	10342	1	contig.1	cds	-	0.0	K01913	490.3	-	0.0	-	0.0	F	213.9	AMP-binding	374.9	AMP-binding,AMP-binding_C	346.5,70.7	actNOG.ENOG4100BGV.meta_raw	622.1
ICBG5|ICBG5_0000011	hypothetical protein	11957	12406	00	11957	1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	FUR	68.4	actNOG.ENOG4100K56.meta_raw	242.4
ICBG5|ICBG5_0000012	catalase/peroxidase HPI	12399	14645	00	12399	1	contig.1	cds	TIGR00198	1055.1	K03782	1163.5	-	0.0	AA2	37.6	-	0.0	-	0.0	peroxidase,peroxidase	143.1,118.6	actNOG.ENOG4100BG2.meta_raw	1234.8
ICBG5|ICBG5_0000013	hypothetical protein	14801	14998	00	14801	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0
ICBG5|ICBG5_0000014	ArsR family transcriptional regulator	14995	15579	00	14995	-1	contig.1	cds	-	0.0	K03892	27.5	-	0.0	-	0.0	-	0.0	-	0.0	HTH_20	38.3	actNOG.ENOG4100PZE.meta_raw	211.0
ICBG5|ICBG5_0000015	K07002 family protein	15737	16456	00	15737	-1	contig.1	cds	-	0.0	K07002	26.5	-	0.0	-	0.0	-	0.0	-	0.0	Abhydrolase_6	58.9	actNOG.ENOG4100JM6.meta_raw	242.2
ICBG5|ICBG5_0000016	hypothetical protein	16499	16888	00	16499	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	actNOG.ENOG4100MSA.meta_raw	197.0
ICBG5|ICBG5_0000017	hypothetical protein	16947	17645	00	16947	1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	LysR_substrate	86.0	actNOG.ENOG4100D3Y.meta_raw	301.1
ICBG5|ICBG5_0000018	hypothetical protein	17719	18690	00	17719	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	FA_desaturase	70.0	actNOG.ENOG4100CA8.meta_raw	528.9
ICBG5|ICBG5_0000019	probable F420-dependent oxidoreductase, Rv3520c family	18809	19837	00	18809	1	contig.1	cds	TIGR03559	443.4	K04091	40.3	-	0.0	-	0.0	-	0.0	-	0.0	Bac_luciferase	236.6	actNOG.ENOG4100DVH.meta_raw	447.4
ICBG5|ICBG5_0000020	esterase / lipase	19881	21515	00	19881	1	contig.1	cds	-	0.0	K01066	535.6	-	0.0	-	0.0	-	0.0	-	0.0	Pyr_redox_3	43.7	actNOG.ENOG4100EEY.meta_raw	802.6
ICBG5|ICBG5_0000021	hypothetical protein	21670	22449	00	21670	1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	actNOG.ENOG4100R0N.meta_raw	85.8
ICBG5|ICBG5_0000022	2-oxoglutarate dehydrogenase, E1 component	22596	26480	00	22596	1	contig.1	cds	TIGR00239	979.7	K00164	1244.1	-	0.0	-	0.0	-	0.0	-	0.0	2-oxogl_dehyd_N,2-oxoacid_dh,E1_dh,Transket_pyr,OxoGdeHyase_C	42.9,186.0,196.3,167.2,144.8	actNOG.ENOG41013E6.meta_raw	2100.7
ICBG5|ICBG5_0000023	putative TIGR00245 family protein	26908	27648	00	26908	-1	contig.1	cds	TIGR00245	110.3	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	UPF0014	150.1	actNOG.ENOG4100J30.meta_raw	254.9
ICBG5|ICBG5_0000024	hypothetical protein	27677	27853	00	27677	1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	actNOG.ENOG4100QMC.meta_raw	110.8
ICBG5|ICBG5_0000025	(R,R)-butanediol dehydrogenase / diacetyl reductase	27878	28789	00	27878	-1	contig.1	cds	-	0.0	K03366	41.0	-	0.0	-	0.0	-	0.0	-	0.0	adh_short	80.2	actNOG.ENOG4100DSP.meta_raw	272.3
