LocusID	Annotation	Start	End	Partial	Absolute_Start	Strand	Contig	Type	TIGR	TIGR_bitscore	KEGG	KEGG_bitscore	resfam	resfam_bitscore	dbCAN	dbCAN_bitscore	NRPS	NRPS_bitscore	antiSMASH	antiSMASH_bitscore	PFAM	PFAM_bitscore	actNOG	actNOG_bitscore
CLI4675|CLI4675_0000001	integrase/recombinase XerD	276	1322	00	276	1	contig.1	cds	-	0.0	K04763	112.1	-	0.0	-	0.0	-	0.0	-	0.0	Phage_int_SAM_1,Phage_integrase	27.5,57.5	actNOG.ENOG4100GJF.meta_raw	545.0
CLI4675|CLI4675_0000002	putative transcriptional regulator	1319	1663	00	1319	1	contig.1	cds	-	0.0	K07727	24.1	-	0.0	-	0.0	-	0.0	-	0.0	HTH_26	61.5	actNOG.ENOG4100QU9.meta_raw	127.9
CLI4675|CLI4675_0000003	hypothetical protein	2016	3167	00	2016	1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	actNOG.ENOG4100JU0.meta_raw	416.9
CLI4675|CLI4675_0000004	protein disulfide-isomerase partial partial partial partial protein	2	1351	10	3268	-1	contig.2	cds	-	0.0	K01829	30.1	-	0.0	-	0.0	-	0.0	-	0.0	Thioredox_DsbH	240.7	actNOG.ENOG4100CC8.meta_raw	788.4
CLI4675|CLI4675_0000005	hypothetical protein	1376	1663	00	4642	-1	contig.2	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	actNOG.ENOG4100T16.meta_raw	66.5
CLI4675|CLI4675_0000006	mycothiol conjugate amidase Mca	1737	2660	00	5003	-1	contig.2	cds	TIGR03446	495.0	-	0.0	-	0.0	CE14	151.5	-	0.0	-	0.0	PIG-L	91.3	actNOG.ENOG4100C40.meta_raw	498.5
CLI4675|CLI4675_0000007	hypothetical partial partial partial partial protein	3150	3290	01	6416	1	contig.2	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	GreA_GreB_N	34.5	actNOG.ENOG4100IJZ.meta_raw	53.9
CLI4675|CLI4675_0000008	carbon starvation partial partial partial partial protein	1	1521	10	6558	-1	contig.3	cds	-	0.0	K06200	687.2	-	0.0	-	0.0	-	0.0	-	0.0	CstA	545.2	actNOG.ENOG4100C9G.meta_raw	856.6
CLI4675|CLI4675_0000009	hypothetical protein	1659	2180	00	8216	-1	contig.3	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	actNOG.ENOG4100N8K.meta_raw	271.8
CLI4675|CLI4675_0000010	K00257 family protein	2357	3550	00	8914	-1	contig.3	cds	-	0.0	K00257	397.5	-	0.0	-	0.0	-	0.0	-	0.0	Acyl-CoA_dh_N,Acyl-CoA_dh_M,Acyl-CoA_dh_1	116.8,77.4,155.0	actNOG.ENOG4100D6E.meta_raw	712.3
CLI4675|CLI4675_0000011	malate synthase	3594	4553	00	10151	-1	contig.3	cds	-	0.0	K01638	22.0	-	0.0	-	0.0	-	0.0	-	0.0	HpcH_HpaI	147.5	actNOG.ENOG4100CMX.meta_raw	498.7
CLI4675|CLI4675_0000012	phenazine biosynthesis protein PhzF family	4708	5610	00	11265	-1	contig.3	cds	TIGR00654	183.7	K06998	196.8	-	0.0	-	0.0	-	0.0	-	0.0	PhzC-PhzF	177.5	actNOG.ENOG4100DDB.meta_raw	264.8
CLI4675|CLI4675_0000013	magnesium transporter	5685	7004	00	12242	1	contig.3	cds	-	0.0	K06213	181.1	-	0.0	-	0.0	-	0.0	-	0.0	MgtE_N	91.1	actNOG.ENOG4100C5G.meta_raw	560.6
CLI4675|CLI4675_0000014	hypothetical protein	6997	7548	00	13554	1	contig.3	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	DUF1003	131.6	actNOG.ENOG4100IPK.meta_raw	257.9
