LocusID	Annotation	Start	End	Partial	Absolute_Start	Strand	Contig	Type	TIGR	TIGR_bitscore	KEGG	KEGG_bitscore	resfam	resfam_bitscore	dbCAN	dbCAN_bitscore	NRPS	NRPS_bitscore	antiSMASH	antiSMASH_bitscore	PFAM	PFAM_bitscore	actNOG	actNOG_bitscore
CLI10783|CLI10783_0000001	hypothetical partial partial partial partial protein	3	167	10	3	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	actNOG.ENOG4100BN8.meta_raw	47.5
CLI10783|CLI10783_0000002	hypothetical protein	758	910	00	758	1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	actNOG.ENOG4100IEN.meta_raw	68.8
CLI10783|CLI10783_0000003	hypothetical protein	2420	3436	00	2420	1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	actNOG.ENOG4100EYQ.meta_raw	167.3
CLI10783|CLI10783_0000004	hypothetical protein	4521	5501	00	4521	1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	actNOG.ENOG4100EC2.meta_raw	107.5
CLI10783|CLI10783_0000005	hypothetical protein	5638	5844	00	5638	1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	Sigma70_r4_2	56.4	actNOG.ENOG4100IDS.meta_raw	93.2
CLI10783|CLI10783_0000006	hypothetical protein	6293	6493	00	6293	1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	actNOG.ENOG4100JI1.meta_raw	47.2
CLI10783|CLI10783_0000007	thioredoxin reductase (NADPH)	6851	7669	00	6851	1	contig.1	cds	-	0.0	K00384	326.7	-	0.0	-	0.0	-	0.0	-	0.0	Pyr_redox_2	110.0	actNOG.ENOG4100C69.meta_raw	359.2
CLI10783|CLI10783_0000008	thioredoxin	7713	8036	00	7713	1	contig.1	cds	TIGR01068	127.4	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	Thioredoxin	112.8	actNOG.ENOG4100MT7.meta_raw	160.1
CLI10783|CLI10783_0000009	N-acetylmuramoyl-L-alanine amidase	8253	9413	00	8253	1	contig.1	cds	-	0.0	K01448	157.1	-	0.0	-	0.0	-	0.0	-	0.0	PG_binding_1,PG_binding_1,Amidase_3	40.4,61.8,111.5	actNOG.ENOG4100D9V.meta_raw	532.1
CLI10783|CLI10783_0000010	hypothetical protein	9465	10196	00	9465	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	actNOG.ENOG4100ECN.meta_raw	296.3
CLI10783|CLI10783_0000011	aminotransferase	10457	11857	00	10457	1	contig.1	cds	-	0.0	K10907	161.9	-	0.0	-	0.0	-	0.0	-	0.0	Aminotran_1_2	126.9	actNOG.ENOG4100D2G.meta_raw	657.2
CLI10783|CLI10783_0000012	putative D-alanine--D-alanine ligase	11949	12884	00	11949	1	contig.1	cds	TIGR01205	221.9	K01955	33.1	-	0.0	-	0.0	-	0.0	-	0.0	Dala_Dala_lig_N,Dala_Dala_lig_C	59.4,152.5	actNOG.ENOG4100C4I.meta_raw	442.4
CLI10783|CLI10783_0000013	hypothetical protein	13035	13931	00	13035	1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0
CLI10783|CLI10783_0000014	ParB/RepB/Spo0J family partition protein	15448	16419	00	15448	-1	contig.1	cds	TIGR00180	201.4	K03497	304.0	-	0.0	-	0.0	-	0.0	-	0.0	ParBc	86.3	actNOG.ENOG4100BFK.meta_raw	467.9
CLI10783|CLI10783_0000015	arsenite-transporting ATPase	16450	17343	00	16450	-1	contig.1	cds	-	0.0	K01551	33.3	-	0.0	-	0.0	-	0.0	-	0.0	AAA_31	192.1	actNOG.ENOG4100BK5.meta_raw	603.1
CLI10783|CLI10783_0000016	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	17418	18092	00	17418	-1	contig.1	cds	TIGR00138	118.8	K03501	214.8	-	0.0	-	0.0	-	0.0	-	0.0	GidB	154.5	actNOG.ENOG4100IJY.meta_raw	302.6
CLI10783|CLI10783_0000017	spoIIIJ-associated protein	18089	18619	00	18089	-1	contig.1	cds	-	0.0	K06346	167.2	-	0.0	-	0.0	-	0.0	-	0.0	R3H	50.4	actNOG.ENOG4100ISC.meta_raw	237.9
CLI10783|CLI10783_0000018	membrane protein insertase, YidC/Oxa1 family, C-terminal domain	18717	19883	00	18717	-1	contig.1	cds	TIGR03592	188.8	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	60KD_IMP	167.8	actNOG.ENOG4100E5I.meta_raw	374.7
CLI10783|CLI10783_0000019	ribosomal protein L34, bacterial type	20754	20891	00	20754	-1	contig.1	cds	TIGR01030	63.3	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	Ribosomal_L34	68.1	actNOG.ENOG4100S88.meta_raw	96.1
