LocusID	Annotation	Start	End	Partial	Absolute_Start	Strand	Contig	Type	TIGR	TIGR_bitscore	KEGG	KEGG_bitscore	resfam	resfam_bitscore	dbCAN	dbCAN_bitscore	NRPS	NRPS_bitscore	antiSMASH	antiSMASH_bitscore	PFAM	PFAM_bitscore	actNOG	actNOG_bitscore
CLI4811|pBCI2-1_0006598	PFAM Acyl-CoA_dh_N domain partial partial partial partial protein	1	321	10	1	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	Acyl-CoA_dh_N	71.9	actNOG.ENOG4100BJ5.meta_raw	94.3
CLI4811|pBCI2-1_0006599	alkanesulfonate monooxygenase	489	1646	00	489	1	contig.1	cds	-	0.0	K04091	42.0	-	0.0	-	0.0	-	0.0	-	0.0	Bac_luciferase	137.4	actNOG.ENOG4100EEA.meta_raw	474.3
CLI4811|pBCI2-1_0006600	putative 3,4-dihydroxy-2-butanone 4-phosphate synthase	1639	2679	00	1639	1	contig.1	cds	TIGR00506	122.5	K14652	323.9	-	0.0	-	0.0	-	0.0	-	0.0	DHBP_synthase,GTP_cyclohydro2	171.2,79.5	actNOG.ENOG4100C67.meta_raw	286.3
CLI4811|pBCI2-1_0006601	K01913 family protein	2799	4439	00	2799	1	contig.1	cds	-	0.0	K01913	197.1	-	0.0	-	0.0	-	0.0	AMP-binding	180.8	AMP-binding	147.8	actNOG.ENOG4100DGX.meta_raw	371.9
CLI4811|pBCI2-1_0006602	dbCAN CE10 domain protein	4417	5310	00	4417	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	CE10	153.9	-	0.0	-	0.0	Abhydrolase_3	169.3	actNOG.ENOG4100HMX.meta_raw	237.4
CLI4811|pBCI2-1_0006603	acetoacetyl-CoA reductase	5307	6089	00	5307	-1	contig.1	cds	-	0.0	K00023	180.7	-	0.0	-	0.0	-	0.0	-	0.0	adh_short_C2	202.6	actNOG.ENOG4100CX1.meta_raw	233.1
CLI4811|pBCI2-1_0006604	branched-chain amino acid transport system ATP-binding protein	6101	6802	00	6101	-1	contig.1	cds	-	0.0	K01996	223.4	-	0.0	-	0.0	-	0.0	-	0.0	ABC_tran	90.7	actNOG.ENOG4100JVK.meta_raw	201.0
CLI4811|pBCI2-1_0006605	branched-chain amino acid transport system permease protein	6799	7581	00	6799	-1	contig.1	cds	-	0.0	K01998	211.7	-	0.0	-	0.0	-	0.0	-	0.0	ABC_tran,BCA_ABC_TP_C	92.6,28.2	actNOG.ENOG4100DSM.meta_raw	306.4
CLI4811|pBCI2-1_0006606	branched-chain amino acid transport system permease protein	7578	8636	00	7578	-1	contig.1	cds	-	0.0	K01998	128.7	-	0.0	-	0.0	-	0.0	-	0.0	BPD_transp_2	86.7	actNOG.ENOG4100KXC.meta_raw	145.3
CLI4811|pBCI2-1_0006607	branched-chain amino acid transport system permease protein	8638	9444	00	8638	-1	contig.1	cds	-	0.0	K01998	60.6	-	0.0	-	0.0	-	0.0	-	0.0	BPD_transp_2	75.5	actNOG.ENOG4100HCP.meta_raw	195.3
CLI4811|pBCI2-1_0006608	putative transposase	9482	10573	00	9482	1	contig.1	cds	-	0.0	K07494	170.3	-	0.0	-	0.0	-	0.0	-	0.0	HTH_32,DDE_3	50.2,74.2	actNOG.ENOG4100BDX.meta_raw	642.3
CLI4811|pBCI2-1_0006609	branched-chain amino acid transport system substrate-binding protein	10711	11919	00	10711	-1	contig.1	cds	-	0.0	K01999	99.2	-	0.0	-	0.0	-	0.0	-	0.0	Peripla_BP_6	186.8	actNOG.ENOG4100DBC.meta_raw	183.4
CLI4811|pBCI2-1_0006610	(R,R)-butanediol dehydrogenase / diacetyl reductase	12139	12891	00	12139	1	contig.1	cds	-	0.0	K03366	189.8	-	0.0	-	0.0	-	0.0	-	0.0	adh_short_C2	211.2	actNOG.ENOG4100K2N.meta_raw	249.5
CLI4811|pBCI2-1_0006611	TetR/AcrR family transcriptional regulator, acrAB operon repressor	12909	13523	00	12909	-1	contig.1	cds	-	0.0	K03577	51.2	-	0.0	-	0.0	-	0.0	-	0.0	TetR_N	50.4	actNOG.ENOG41014W2.meta_raw	201.5
CLI4811|pBCI2-1_0006612	PFAM AcetylCoA_hydro-AcetylCoA_hyd_C domain protein	13719	14945	00	13719	1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	AcetylCoA_hydro,AcetylCoA_hyd_C	28.2,138.0	actNOG.ENOG4100DNY.meta_raw	302.9
CLI4811|pBCI2-1_0006613	4-hydroxy 2-oxovalerate aldolase	14942	15907	00	14942	1	contig.1	cds	-	0.0	K01666	72.2	-	0.0	-	0.0	-	0.0	-	0.0	HMGL-like	133.1	actNOG.ENOG4100E1Y.meta_raw	278.2
CLI4811|pBCI2-1_0006614	acetoacetyl-CoA synthase	15904	17877	00	15904	1	contig.1	cds	TIGR01217	642.0	K01895	321.3	-	0.0	-	0.0	F	58.6	AMP-binding	202.4	AMP-binding	152.3	actNOG.ENOG41014RT.meta_raw	802.7
CLI4811|pBCI2-1_0006615	enoyl-CoA hydratase	17874	18659	00	17874	1	contig.1	cds	-	0.0	K01692	232.4	-	0.0	-	0.0	-	0.0	-	0.0	ECH_1	173.9	actNOG.ENOG4100GK5.meta_raw	239.2
CLI4811|pBCI2-1_0006616	PFAM CoA_transf_3 domain protein	18656	19780	00	18656	1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	CoA_transf_3	257.3	actNOG.ENOG4100C76.meta_raw	356.0
CLI4811|pBCI2-1_0006617	SDR family mycofactocin-dependent oxidoreductase	19794	20654	00	19794	1	contig.1	cds	TIGR03971	348.4	K03366	184.3	-	0.0	-	0.0	-	0.0	-	0.0	adh_short_C2	164.5	actNOG.ENOG4100GHK.meta_raw	372.2
CLI4811|pBCI2-1_0006618	putative PPOX class probable F420-dependent enzyme	20684	21166	00	20684	1	contig.1	cds	TIGR03618	65.9	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	Pyridox_oxidase	40.5	actNOG.ENOG4100J69.meta_raw	82.4
CLI4811|pBCI2-1_0006619	PFAM HTH_IclR-IclR domain protein	21372	22286	00	21372	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	HTH_IclR,IclR	54.0,64.5	actNOG.ENOG4100VMJ.meta_raw	264.5
CLI4811|pBCI2-1_0006620	ferredoxin-NAD+ reductase	22283	23491	00	22283	-1	contig.1	cds	-	0.0	K00529	368.1	-	0.0	-	0.0	-	0.0	-	0.0	Pyr_redox_2,Reductase_C	187.8,44.8	actNOG.ENOG4100E5Z.meta_raw	454.0
CLI4811|pBCI2-1_0006621	PFAM Fer4_15 domain protein	23494	23685	00	23494	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	Fer4_15	56.6	actNOG.ENOG4100TQD.meta_raw	58.3
CLI4811|pBCI2-1_0006622	PFAM CoA_transf_3 domain protein	23714	24880	00	23714	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	CoA_transf_3	346.3	actNOG.ENOG4100BDQ.meta_raw	350.5
CLI4811|pBCI2-1_0006623	K00257 family protein	24877	26016	00	24877	-1	contig.1	cds	-	0.0	K00257	389.0	-	0.0	-	0.0	-	0.0	-	0.0	Acyl-CoA_dh_N,Acyl-CoA_dh_M,Acyl-CoA_dh_1	85.3,89.3,156.8	actNOG.ENOG4100BP6.meta_raw	423.8
CLI4811|pBCI2-1_0006624	K07045 family protein	26013	27065	00	26013	-1	contig.1	cds	-	0.0	K07045	70.8	-	0.0	-	0.0	-	0.0	-	0.0	Amidohydro_2	137.4	actNOG.ENOG4100EKY.meta_raw	318.5
CLI4811|pBCI2-1_0006625	biphenyl-2,3-diol 1,2-dioxygenase	27058	27936	00	27058	-1	contig.1	cds	-	0.0	K00462	82.5	-	0.0	-	0.0	-	0.0	-	0.0	Glyoxalase,Glyoxalase	54.6,35.3	actNOG.ENOG4100JS6.meta_raw	123.0
CLI4811|pBCI2-1_0006626	acetoacetyl-CoA reductase	27993	28784	00	27993	-1	contig.1	cds	-	0.0	K00023	188.3	-	0.0	-	0.0	-	0.0	-	0.0	adh_short_C2	184.7	actNOG.ENOG4100CKY.meta_raw	253.0
CLI4811|pBCI2-1_0006627	haloalkane dehalogenase	28785	29648	00	28785	-1	contig.1	cds	-	0.0	K01563	97.3	-	0.0	CE1	29.2	-	0.0	-	0.0	Abhydrolase_1	103.1	actNOG.ENOG4100GKJ.meta_raw	361.1
CLI4811|pBCI2-1_0006628	PFAM Ring_hydroxyl_B domain protein	29700	30212	00	29700	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	Ring_hydroxyl_B	112.0	actNOG.ENOG4100QWX.meta_raw	171.1
CLI4811|pBCI2-1_0006629	large terminal subunit of phenylpropionate dioxygenase	30209	31534	00	30209	-1	contig.1	cds	-	0.0	K05708	298.6	-	0.0	-	0.0	-	0.0	-	0.0	Rieske,Ring_hydroxyl_A	65.4,81.2	actNOG.ENOG4100FX1.meta_raw	432.9
CLI4811|pBCI2-1_0006630	putative TRAP transporter, DctM subunit	31592	33097	00	31592	-1	contig.1	cds	TIGR00786	232.9	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	DctM	242.4	actNOG.ENOG4100BPT.meta_raw	368.7
CLI4811|pBCI2-1_0006631	PFAM DctQ domain protein	33090	33659	00	33090	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	DctQ	83.5	actNOG.ENOG4100ZET.meta_raw	71.9
CLI4811|pBCI2-1_0006632	PFAM DctP domain protein	33656	34900	00	33656	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	DctP	86.8	actNOG.ENOG4100WC8.meta_raw	185.3
CLI4811|pBCI2-1_0006633	NADPH2:quinone reductase	35183	36178	00	35183	1	contig.1	cds	-	0.0	K00344	200.8	-	0.0	-	0.0	-	0.0	-	0.0	ADH_N,ADH_zinc_N	30.7,62.0	actNOG.ENOG4100DPS.meta_raw	202.4
CLI4811|pBCI2-1_0006634	GntR family transcriptional regulator, uxuAB operon repressor	36151	36882	00	36151	-1	contig.1	cds	-	0.0	K13637	121.0	-	0.0	-	0.0	-	0.0	-	0.0	GntR,FCD	74.5,68.2	actNOG.ENOG4100QQB.meta_raw	180.0
CLI4811|pBCI2-1_0006635	4-hydroxy-2-oxovalerate aldolase	37188	38252	00	37188	-1	contig.1	cds	TIGR03217	543.7	K01666	443.4	-	0.0	-	0.0	-	0.0	-	0.0	HMGL-like,DmpG_comm	194.8,108.4	actNOG.ENOG4100D6F.meta_raw	571.3
CLI4811|pBCI2-1_0006636	acetaldehyde dehydrogenase (acetylating)	38249	39202	00	38249	-1	contig.1	cds	TIGR03215	464.6	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	Semialdhyde_dh,AcetDehyd-dimer	45.9,213.9	actNOG.ENOG4100CV9.meta_raw	557.2
CLI4811|pBCI2-1_0006637	putative 2-oxopent-4-enoate hydratase	39199	40008	00	39199	-1	contig.1	cds	TIGR03220	253.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	FAA_hydrolase	46.8	actNOG.ENOG4100HPY.meta_raw	385.6
CLI4811|pBCI2-1_0006638	hypothetical protein	40229	40495	00	40229	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0
CLI4811|pBCI2-1_0006639	glycine betaine/proline transport system substrate-binding protein	40568	41413	00	40568	-1	contig.1	cds	-	0.0	K02002	32.3	-	0.0	-	0.0	-	0.0	-	0.0	BPD_transp_1	68.8	actNOG.ENOG4100HI5.meta_raw	297.2
CLI4811|pBCI2-1_0006640	sulfonate/nitrate/taurine transport system ATP-binding protein	41410	42231	00	41410	-1	contig.1	cds	-	0.0	K02049	274.5	-	0.0	-	0.0	-	0.0	-	0.0	ABC_tran	93.9	actNOG.ENOG4100VN7.meta_raw	370.3
CLI4811|pBCI2-1_0006641	sulfonate/nitrate/taurine transport system substrate-binding protein	42237	43262	00	42237	-1	contig.1	cds	-	0.0	K02051	76.9	-	0.0	-	0.0	-	0.0	-	0.0	NMT1_2	54.8	actNOG.ENOG41011VB.meta_raw	274.6
CLI4811|pBCI2-1_0006642	hypothetical protein	43410	44078	00	43410	1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0
CLI4811|pBCI2-1_0006643	transposase	44360	45583	00	44360	1	contig.1	cds	-	0.0	K07486	177.1	-	0.0	-	0.0	-	0.0	-	0.0	DEDD_Tnp_IS110,Transposase_20	158.7,66.4	actNOG.ENOG4100DKU.meta_raw	560.5
CLI4811|pBCI2-1_0006644	PFAM DctP domain protein	45837	46409	00	45837	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	DctP	41.9	actNOG.ENOG4100EKA.meta_raw	30.3
CLI4811|pBCI2-1_0006645	propionyl-CoA synthetase	47046	48977	00	47046	-1	contig.1	cds	-	0.0	K01908	1045.1	-	0.0	-	0.0	F	104.5	AMP-binding	322.1	ACAS_N,AMP-binding,AMP-binding_C	66.6,282.4,86.2	actNOG.ENOG41014RH.meta_raw	1139.8
CLI4811|pBCI2-1_0006646	(R,R)-butanediol dehydrogenase / diacetyl reductase	49075	49605	00	49075	1	contig.1	cds	-	0.0	K03366	127.9	-	0.0	-	0.0	-	0.0	-	0.0	adh_short	148.8	actNOG.ENOG4100DHD.meta_raw	253.8
CLI4811|pBCI2-1_0006647	PFAM adh_short_C2 domain protein	49663	49839	00	49663	1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	adh_short_C2	47.6	actNOG.ENOG4100I38.meta_raw	61.1
CLI4811|pBCI2-1_0006648	hypothetical protein	49788	50057	00	49788	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0
CLI4811|pBCI2-1_0006649	acetoacetyl-CoA reductase	50057	50797	00	50057	-1	contig.1	cds	-	0.0	K00023	94.7	-	0.0	-	0.0	-	0.0	-	0.0	adh_short_C2	165.9	actNOG.ENOG4100F5C.meta_raw	179.2
CLI4811|pBCI2-1_0006650	formyl-CoA transferase	51106	53391	00	51106	-1	contig.1	cds	-	0.0	K07749	204.4	-	0.0	-	0.0	-	0.0	-	0.0	CoA_transf_3,CoA_transf_3	95.3,246.0	actNOG.ENOG4100IK3.meta_raw	399.0
CLI4811|pBCI2-1_0006651	K00257 family protein	53430	54611	00	53430	-1	contig.1	cds	-	0.0	K00257	308.5	-	0.0	-	0.0	-	0.0	-	0.0	Acyl-CoA_dh_N,Acyl-CoA_dh_M,Acyl-CoA_dh_1	91.3,68.5,100.3	actNOG.ENOG4100BJ5.meta_raw	444.3
CLI4811|pBCI2-1_0006652	enoyl-CoA hydratase	54640	55359	00	54640	-1	contig.1	cds	-	0.0	K01692	219.8	-	0.0	-	0.0	-	0.0	-	0.0	ECH_1	182.5	actNOG.ENOG4100F45.meta_raw	251.0
CLI4811|pBCI2-1_0006653	alkanesulfonate monooxygenase	55440	56603	00	55440	-1	contig.1	cds	-	0.0	K04091	42.8	-	0.0	-	0.0	-	0.0	A-OX	53.1	Bac_luciferase	142.1	actNOG.ENOG4100EEA.meta_raw	457.2
CLI4811|pBCI2-1_0006654	GntR family transcriptional regulator, vanillate catabolism	56777	57436	00	56777	-1	contig.1	cds	-	0.0	K11475	82.8	-	0.0	-	0.0	-	0.0	-	0.0	GntR,FCD	52.0,56.3	actNOG.ENOG4100MFC.meta_raw	180.7
CLI4811|pBCI2-1_0006655	acetoacetyl-CoA reductase	57498	58274	00	57498	-1	contig.1	cds	-	0.0	K00023	171.6	-	0.0	-	0.0	-	0.0	-	0.0	adh_short_C2	204.1	actNOG.ENOG4100CX1.meta_raw	242.0
CLI4811|pBCI2-1_0006656	PFAM DUF1446 domain protein	58271	60112	00	58271	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	DUF1446	401.7	actNOG.ENOG4100BIY.meta_raw	683.0
CLI4811|pBCI2-1_0006657	hypothetical protein	60536	60643	00	60536	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0
CLI4811|pBCI2-1_0006658	putative TRAP transporter, DctM subunit	60699	62126	00	60699	-1	contig.1	cds	TIGR00786	149.3	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	DctM	260.1	actNOG.ENOG4100BPT.meta_raw	357.2
CLI4811|pBCI2-1_0006659	PFAM DctQ domain protein	62142	62681	00	62142	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	DctQ	72.3	actNOG.ENOG4100P90.meta_raw	27.4
CLI4811|pBCI2-1_0006660	PFAM DctP domain protein	62706	63803	00	62706	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	DctP	92.7	actNOG.ENOG4100WC8.meta_raw	91.9
CLI4811|pBCI2-1_0006661	PFAM Cupin_2 domain protein	64520	65095	00	64520	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	Cupin_2	36.1	actNOG.ENOG41010RK.meta_raw	102.0
CLI4811|pBCI2-1_0006662	(R,R)-butanediol dehydrogenase / diacetyl reductase	65133	65942	00	65133	-1	contig.1	cds	-	0.0	K03366	176.6	-	0.0	-	0.0	-	0.0	-	0.0	adh_short_C2	216.7	actNOG.ENOG4100KUU.meta_raw	295.8
CLI4811|pBCI2-1_0006663	PFAM Bac_luciferase domain protein	66062	66976	00	66062	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	Bac_luciferase	182.9	actNOG.ENOG4100JID.meta_raw	268.7
CLI4811|pBCI2-1_0006664	thiamine biosynthesis ThiG	67570	68865	00	67570	1	contig.1	cds	-	0.0	K03149	24.6	-	0.0	-	0.0	-	0.0	-	0.0	DAO	159.8	actNOG.ENOG4100H09.meta_raw	176.4
CLI4811|pBCI2-1_0006665	carbohydrate diacid regulator	68892	70133	00	68892	-1	contig.1	cds	-	0.0	K02647	73.2	-	0.0	-	0.0	-	0.0	-	0.0	HTH_30	65.8	actNOG.ENOG4100I6X.meta_raw	260.8
CLI4811|pBCI2-1_0006666	MFS transporter, proline/betaine transporter	70271	71596	00	70271	1	contig.1	cds	-	0.0	K03762	416.7	-	0.0	-	0.0	-	0.0	-	0.0	MFS_1	62.2	actNOG.ENOG4100C6Q.meta_raw	400.6
CLI4811|pBCI2-1_0006667	prolyl oligopeptidase	71655	73628	00	71655	-1	contig.1	cds	-	0.0	K01322	399.9	-	0.0	CE1	29.4	-	0.0	-	0.0	Peptidase_S9_N,Peptidase_S9	91.9,139.3	actNOG.ENOG41014MY.meta_raw	403.2
CLI4811|pBCI2-1_0006668	K07047 family protein	73726	74949	00	73726	-1	contig.1	cds	-	0.0	K07047	60.4	-	0.0	-	0.0	-	0.0	-	0.0	Amidohydro_1	138.9	actNOG.ENOG4100BVS.meta_raw	436.7
CLI4811|pBCI2-1_0006669	gamma-glutamyltranspeptidase	74940	76595	00	74940	-1	contig.1	cds	-	0.0	K00681	204.2	-	0.0	-	0.0	-	0.0	-	0.0	G_glu_transpept	170.1	actNOG.ENOG4100DWE.meta_raw	160.9
CLI4811|pBCI2-1_0006670	two-component response regulator, fimbrial Z protein FimZ	77016	77690	00	77016	-1	contig.1	cds	-	0.0	K07688	101.9	-	0.0	-	0.0	-	0.0	-	0.0	Response_reg,GerE	88.7,58.1	actNOG.ENOG4100IB4.meta_raw	345.2
CLI4811|pBCI2-1_0006671	PFAM HisKA_3 domain protein	77687	78961	00	77687	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	HisKA_3	53.3	actNOG.ENOG4100I2Z.meta_raw	421.1
CLI4811|pBCI2-1_0006672	PFAM Abi domain protein	79045	79968	00	79045	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	Abi	42.2	actNOG.ENOG4100END.meta_raw	449.6
CLI4811|pBCI2-1_0006673	hypothetical protein	80460	80879	00	80460	1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0
CLI4811|pBCI2-1_0006674	hypothetical protein	81122	82507	00	81122	1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	actNOG.ENOG410103K.meta_raw	20.6
