LocusID	Annotation	Start	End	Partial	Absolute_Start	Strand	Contig	Type	TIGR	TIGR_bitscore	KEGG	KEGG_bitscore	resfam	resfam_bitscore	dbCAN	dbCAN_bitscore	NRPS	NRPS_bitscore	antiSMASH	antiSMASH_bitscore	PFAM	PFAM_bitscore	actNOG	actNOG_bitscore
CLI4794|CLI4794_0000001	hypothetical protein	10	2928	00	10	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	UPF0182	929.9	actNOG.ENOG4100CGU.meta_raw	1287.5
CLI4794|CLI4794_0000002	ATP-dependent Lon protease	3197	4201	00	3197	1	contig.1	cds	-	0.0	K01338	33.8	-	0.0	-	0.0	-	0.0	-	0.0	PDZ_2,Lon_C	29.7,33.2	actNOG.ENOG4100D59.meta_raw	384.1
CLI4794|CLI4794_0000003	putative hydrolase	4277	5839	00	4277	1	contig.1	cds	TIGR03624	389.6	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	Zinicin_2	392.1	actNOG.ENOG4100D2N.meta_raw	605.6
CLI4794|CLI4794_0000004	mch mesaconyl-CoA hydratase	5861	6532	00	5861	-1	contig.1	cds	-	0.0	K07043	142.0	-	0.0	-	0.0	-	0.0	-	0.0	DUF45	62.5	actNOG.ENOG4100IHN.meta_raw	251.7
CLI4794|CLI4794_0000005	hypothetical protein	6627	7001	00	6627	1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0
CLI4794|CLI4794_0000006	hypothetical protein	7022	7585	00	7022	1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	actNOG.ENOG4100K35.meta_raw	97.3
CLI4794|CLI4794_0000007	hypothetical protein	7582	8913	00	7582	1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	ABC1	113.4	actNOG.ENOG4100CIK.meta_raw	554.7
CLI4794|CLI4794_0000008	TetR/AcrR family transcriptional regulator, acrAB operon repressor	8930	9520	00	8930	-1	contig.1	cds	-	0.0	K03577	66.3	-	0.0	-	0.0	-	0.0	-	0.0	TetR_N	58.2	actNOG.ENOG4100G2F.meta_raw	248.0
CLI4794|CLI4794_0000009	lactoylglutathione lyase	9615	10031	00	9615	1	contig.1	cds	-	0.0	K01759	27.4	-	0.0	-	0.0	-	0.0	-	0.0	Glyoxalase	31.6	actNOG.ENOG4100K09.meta_raw	180.1
CLI4794|CLI4794_0000010	hypothetical protein	183	611	00	10241	-1	contig.2	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	SsgA	108.6	actNOG.ENOG4100RDQ.meta_raw	158.4
CLI4794|CLI4794_0000011	RNA polymerase sigma factor, sigma-70 family	996	1565	00	11054	1	contig.2	cds	TIGR02937	94.2	K03088	143.9	-	0.0	-	0.0	-	0.0	-	0.0	Sigma70_r2,Sigma70_r4	75.3,52.4	actNOG.ENOG4100IFE.meta_raw	203.6
CLI4794|CLI4794_0000012	hypothetical protein	1592	2515	00	11650	1	contig.2	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	RskA	45.2	actNOG.ENOG41011IZ.meta_raw	130.6
CLI4794|CLI4794_0000013	TIGR02611 family protein	2548	3069	00	12606	1	contig.2	cds	TIGR02611	91.2	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	PGPGW	75.9	actNOG.ENOG4100NP2.meta_raw	147.6
CLI4794|CLI4794_0000014	hypothetical protein	3621	3866	00	13679	1	contig.2	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	DUF4288	27.8	actNOG.ENOG41010FQ.meta_raw	32.9
CLI4794|CLI4794_0000015	hypothetical protein	3934	4248	00	13992	1	contig.2	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	actNOG.ENOG410109N.meta_raw	87.1
CLI4794|CLI4794_0000016	hypothetical protein	4491	5030	00	14549	-1	contig.2	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	actNOG.ENOG4100GHB.meta_raw	209.8
CLI4794|CLI4794_0000017	putative amidohydrolase partial partial partial partial protein	5300	6181	01	15358	-1	contig.2	cds	TIGR01891	139.8	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	Peptidase_M20	35.9	actNOG.ENOG4100E9G.meta_raw	362.5
CLI4794|CLI4794_0000018	5-dehydro-4-deoxyglucarate dehydratase	33	959	00	16274	1	contig.3	cds	TIGR03249	416.6	K01707	431.9	-	0.0	-	0.0	-	0.0	-	0.0	DHDPS	175.9	actNOG.ENOG4100G52.meta_raw	401.8
CLI4794|CLI4794_0000019	aldehyde dehydrogenase (NAD+)	997	2610	00	17238	1	contig.3	cds	-	0.0	K00128	136.2	-	0.0	-	0.0	-	0.0	-	0.0	Aldedh	151.8	actNOG.ENOG4100DEC.meta_raw	685.2
CLI4794|CLI4794_0000020	hypothetical protein	2907	3650	00	19148	1	contig.3	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	BPD_transp_1	103.0	actNOG.ENOG41014IT.meta_raw	251.8
CLI4794|CLI4794_0000021	sulfonate/nitrate/taurine transport system substrate-binding protein	3647	4678	00	19888	1	contig.3	cds	-	0.0	K02051	105.2	-	0.0	-	0.0	-	0.0	-	0.0	NMT1	143.6	actNOG.ENOG4100GNW.meta_raw	205.3
CLI4794|CLI4794_0000022	sulfonate/nitrate/taurine transport system ATP-binding protein	4698	5477	00	20939	1	contig.3	cds	-	0.0	K02049	302.8	-	0.0	-	0.0	-	0.0	-	0.0	ABC_tran	110.8	actNOG.ENOG4100CWA.meta_raw	359.9
CLI4794|CLI4794_0000023	Xaa-Pro dipeptidase	5501	7156	00	21742	1	contig.3	cds	-	0.0	K01271	32.7	-	0.0	-	0.0	-	0.0	-	0.0	Peptidase_M24	29.3	-	0.0
CLI4794|CLI4794_0000024	hypothetical protein	7153	7626	00	23394	1	contig.3	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	YjgF_endoribonc	104.2	actNOG.ENOG4100J2E.meta_raw	144.6
CLI4794|CLI4794_0000025	hypothetical protein	7631	8416	00	23872	-1	contig.3	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	GAF_2	26.0	-	0.0
CLI4794|CLI4794_0000026	hypothetical protein	8531	8788	00	24772	1	contig.3	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0
CLI4794|CLI4794_0000027	putative acetoin reductases	8939	9781	00	25180	1	contig.3	cds	TIGR02415	278.8	K03366	318.1	-	0.0	-	0.0	-	0.0	-	0.0	adh_short_C2	178.0	actNOG.ENOG4100FA8.meta_raw	349.3
CLI4794|CLI4794_0000028	carbon-nitrogen hydrolase family protein	9843	10631	00	26084	-1	contig.3	cds	-	0.0	K08590	179.2	-	0.0	-	0.0	-	0.0	-	0.0	CN_hydrolase	152.4	actNOG.ENOG4100HFS.meta_raw	335.6
CLI4794|CLI4794_0000029	monoamine oxidase	10631	12292	00	26872	-1	contig.3	cds	-	0.0	K00274	176.2	-	0.0	-	0.0	-	0.0	-	0.0	Amino_oxidase	130.2	actNOG.ENOG4100FD6.meta_raw	940.0
CLI4794|CLI4794_0000030	(R,R)-butanediol dehydrogenase / diacetyl reductase	12444	13277	00	28685	-1	contig.3	cds	-	0.0	K03366	150.2	-	0.0	-	0.0	-	0.0	-	0.0	adh_short	160.0	actNOG.ENOG4100CAN.meta_raw	356.4
CLI4794|CLI4794_0000031	hypothetical protein	13418	13837	00	29659	1	contig.3	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0
CLI4794|CLI4794_0000032	hypothetical protein	13848	14240	00	30089	-1	contig.3	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	Bac_globin	28.9	actNOG.ENOG41011EW.meta_raw	54.7
CLI4794|CLI4794_0000033	hypothetical partial partial partial partial protein	2	235	11	30523	-1	contig.4	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	Transposase_20	29.8	actNOG.ENOG4100DKU.meta_raw	128.7
CLI4794|CLI4794_0000034	chaperonin GroL partial partial partial partial protein	3	1367	10	30761	1	contig.5	cds	TIGR02348	606.5	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	Cpn60_TCP1	225.9	actNOG.ENOG4100BW6.meta_raw	717.0
CLI4794|CLI4794_0000035	hypothetical protein	1467	1805	00	32225	-1	contig.5	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	Whib	85.1	actNOG.ENOG4100N8Y.meta_raw	174.6
CLI4794|CLI4794_0000036	hypothetical protein	1893	2933	00	32651	1	contig.5	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	actNOG.ENOG4100P52.meta_raw	145.2
