LocusID	Annotation	Start	End	Partial	Absolute_Start	Strand	Contig	Type	TIGR	TIGR_bitscore	KEGG	KEGG_bitscore	resfam	resfam_bitscore	dbCAN	dbCAN_bitscore	NRPS	NRPS_bitscore	antiSMASH	antiSMASH_bitscore	PFAM	PFAM_bitscore	actNOG	actNOG_bitscore
CLI4845|CLI4845_0000001	hypothetical partial partial partial partial protein	2	364	10	4328	-1	contig.2	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	actNOG.ENOG4101361.meta_raw	133.7
CLI4845|CLI4845_0000002	RNA polymerase sigma factor, sigma-70 family	361	996	00	4687	-1	contig.2	cds	TIGR02937	98.1	K03088	195.2	-	0.0	-	0.0	-	0.0	-	0.0	Sigma70_r2,Sigma70_r4_2	74.2,59.0	actNOG.ENOG4100DPW.meta_raw	336.3
CLI4845|CLI4845_0000003	integrase	1258	2121	00	5584	1	contig.2	cds	-	0.0	K14059	71.1	-	0.0	-	0.0	-	0.0	-	0.0	Phage_int_SAM_4,Phage_integrase	37.8,118.0	actNOG.ENOG4100I5Q.meta_raw	301.2
CLI4845|CLI4845_0000004	hypothetical protein	3132	3680	00	7458	1	contig.2	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	MUG113	31.5	-	0.0
CLI4845|CLI4845_0000005	hypothetical protein	3677	3814	00	8003	1	contig.2	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0
CLI4845|CLI4845_0000006	hypothetical protein	3814	3993	00	8140	1	contig.2	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0
CLI4845|CLI4845_0000007	hypothetical protein	4425	4577	00	8751	1	contig.2	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0
CLI4845|CLI4845_0000008	hypothetical protein	4861	5352	00	9187	-1	contig.2	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0
CLI4845|CLI4845_0000009	hypothetical protein	5352	5798	00	9678	-1	contig.2	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0
CLI4845|CLI4845_0000010	hypothetical partial partial partial partial protein	5970	6269	01	10296	1	contig.2	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0
CLI4845|CLI4845_0000011	hypothetical partial partial partial partial protein	2	817	10	10598	1	contig.3	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	Microvir_H	627.6	-	0.0
CLI4845|CLI4845_0000012	hypothetical protein	881	2422	00	11477	1	contig.3	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	Phage_GPA	261.4	-	0.0
CLI4845|CLI4845_0000013	hypothetical protein	3287	4570	00	13883	1	contig.3	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	Phage_F,Phage_F	244.0,298.9	-	0.0
CLI4845|CLI4845_0000014	hypothetical partial partial partial partial protein	2	544	10	16014	-1	contig.4	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	Beta_elim_lyase	120.9	actNOG.ENOG410132X.meta_raw	242.6
CLI4845|CLI4845_0000015	TetR/AcrR family transcriptional regulator, acrAB operon repressor	690	1283	00	16702	1	contig.4	cds	-	0.0	K03577	24.9	-	0.0	-	0.0	-	0.0	-	0.0	TetR_N	35.8	actNOG.ENOG4100IMU.meta_raw	200.1
CLI4845|CLI4845_0000016	adenylosuccinate lyase	1336	2754	00	17348	1	contig.4	cds	TIGR00928	414.6	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	Lyase_1,ADSL_C	77.8,51.8	actNOG.ENOG4100BM1.meta_raw	726.8
CLI4845|CLI4845_0000017	phosphoribosylaminoimidazole-succinocarboxamide synthase	2751	3608	00	18763	1	contig.4	cds	TIGR00081	211.7	K01923	369.8	-	0.0	-	0.0	-	0.0	-	0.0	SAICAR_synt	304.6	actNOG.ENOG4100BZT.meta_raw	425.0
CLI4845|CLI4845_0000018	hypothetical protein	3645	4175	00	19657	1	contig.4	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	actNOG.ENOG4100RD6.meta_raw	138.2
CLI4845|CLI4845_0000019	hypothetical protein	4191	4784	00	20203	-1	contig.4	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	Flavoprotein	41.4	actNOG.ENOG4100M7S.meta_raw	243.4
CLI4845|CLI4845_0000020	hypothetical protein	4798	5748	00	20810	-1	contig.4	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	Sugar-bind	138.0	actNOG.ENOG4100H11.meta_raw	367.7
CLI4845|CLI4845_0000021	threonine 3-dehydrogenase	5906	7003	00	21918	1	contig.4	cds	-	0.0	K00060	209.3	-	0.0	-	0.0	-	0.0	-	0.0	ADH_N,ADH_zinc_N	82.9,67.9	actNOG.ENOG4100CHX.meta_raw	411.8
CLI4845|CLI4845_0000022	MFS transporter bicyclomycin/chloramphenicol	7014	8330	00	23026	1	contig.4	cds	-	0.0	K07552	25.2	-	0.0	-	0.0	-	0.0	-	0.0	MFS_1	66.7	actNOG.ENOG4100BI9.meta_raw	497.8
CLI4845|CLI4845_0000023	dihydroxyacetone kinase partial partial partial partial protein	8388	8948	01	24400	1	contig.4	cds	-	0.0	K00863	240.0	-	0.0	-	0.0	-	0.0	-	0.0	Dak1	186.4	actNOG.ENOG4100EGP.meta_raw	256.9
CLI4845|CLI4845_0000024	hypothetical partial partial partial partial protein	1	237	10	24962	1	contig.5	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	actNOG.ENOG4100PZX.meta_raw	64.6
CLI4845|CLI4845_0000025	DNA-3-methyladenine glycosylase I	234	827	00	25195	1	contig.5	cds	TIGR00624	244.3	K01246	281.5	-	0.0	-	0.0	-	0.0	-	0.0	Adenine_glyco	224.9	actNOG.ENOG4100HHY.meta_raw	296.4
