LocusID	Annotation	Start	End	Partial	Absolute_Start	Strand	Contig	Type	TIGR	TIGR_bitscore	KEGG	KEGG_bitscore	resfam	resfam_bitscore	dbCAN	dbCAN_bitscore	NRPS	NRPS_bitscore	antiSMASH	antiSMASH_bitscore	PFAM	PFAM_bitscore	actNOG	actNOG_bitscore
CLI4839|pFRP1-2_0006049	hypothetical partial partial partial partial protein	2	97	10	2	1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0
CLI4839|pFRP1-2_0006050	hypothetical protein	613	1194	00	613	1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	actNOG.ENOG4100CAB.meta_raw	229.9
CLI4839|pFRP1-2_0006051	putative transposase	1187	2194	00	1187	1	contig.1	cds	-	0.0	K07497	25.5	-	0.0	-	0.0	-	0.0	-	0.0	rve,Mu-transpos_C	28.9,28.5	actNOG.ENOG4100CAB.meta_raw	441.2
CLI4839|pFRP1-2_0006052	PFAM TniB domain protein	2185	3264	00	2185	1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	TniB	99.1	actNOG.ENOG4100M2G.meta_raw	543.2
CLI4839|pFRP1-2_0006053	hypothetical protein	3261	4061	00	3261	1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	actNOG.ENOG4100ZTC.meta_raw	72.9
CLI4839|pFRP1-2_0006054	adenylylsulfate kinase	4352	5578	00	4352	1	contig.1	cds	-	0.0	K00860	24.2	-	0.0	-	0.0	-	0.0	-	0.0	AAA_33	27.9	actNOG.ENOG4100YZU.meta_raw	290.9
CLI4839|pFRP1-2_0006055	transposase	5900	6997	00	5900	-1	contig.1	cds	-	0.0	K07486	132.0	-	0.0	-	0.0	-	0.0	-	0.0	DEDD_Tnp_IS110,Transposase_20	52.6,53.5	actNOG.ENOG4100F4R.meta_raw	429.9
CLI4839|pFRP1-2_0006056	hypothetical protein	7147	7386	00	7147	1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0
CLI4839|pFRP1-2_0006057	PFAM Pyridox_oxidase domain protein	7604	8026	00	7604	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	Pyridox_oxidase	35.2	actNOG.ENOG410122I.meta_raw	162.5
CLI4839|pFRP1-2_0006058	transposase	9485	9817	00	9485	1	contig.1	cds	-	0.0	K07483	54.3	-	0.0	-	0.0	-	0.0	-	0.0	HTH_Tnp_1	30.1	actNOG.ENOG4100RQQ.meta_raw	163.7
CLI4839|pFRP1-2_0006059	putative transposase	9892	10749	00	9892	1	contig.1	cds	-	0.0	K07497	144.5	-	0.0	-	0.0	-	0.0	-	0.0	HTH_21,rve	41.1,74.2	actNOG.ENOG4100GWC.meta_raw	420.7
CLI4839|pFRP1-2_0006060	hypothetical protein	10841	11638	00	10841	1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	actNOG.ENOG4100JRH.meta_raw	315.1
CLI4839|pFRP1-2_0006061	acetoacetyl-CoA reductase	11679	12566	00	11679	1	contig.1	cds	-	0.0	K00023	123.2	-	0.0	-	0.0	-	0.0	-	0.0	adh_short_C2	135.7	actNOG.ENOG4100FX3.meta_raw	359.0
CLI4839|pFRP1-2_0006062	acyl-CoA thioester hydrolase	12709	13092	00	12709	1	contig.1	cds	-	0.0	K07032	133.4	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	actNOG.ENOG4100MV4.meta_raw	195.0
CLI4839|pFRP1-2_0006063	hypothetical protein	13281	13511	00	13281	1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0
CLI4839|pFRP1-2_0006064	ATP-binding cassette, subfamily B, bacterial	13829	15592	00	13829	-1	contig.1	cds	-	0.0	K06147	583.1	-	0.0	-	0.0	-	0.0	-	0.0	ABC_membrane,ABC_tran	131.4,116.4	actNOG.ENOG4100BU1.meta_raw	712.8
CLI4839|pFRP1-2_0006065	hypothetical protein	15813	16130	00	15813	1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0
CLI4839|pFRP1-2_0006066	thiamine kinase	16186	17247	00	16186	1	contig.1	cds	-	0.0	K07251	61.7	-	0.0	-	0.0	-	0.0	-	0.0	APH	66.8	actNOG.ENOG4100H9A.meta_raw	56.0
CLI4839|pFRP1-2_0006067	antiSMASH LANC_like domain protein	17268	19493	00	17268	1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	LANC_like	108.8	LANC_like	111.1	actNOG.ENOG4100BM0.meta_raw	147.4
CLI4839|pFRP1-2_0006068	hypothetical protein	19490	19807	00	19490	1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0
CLI4839|pFRP1-2_0006069	PFAM Methyltransf_2 domain protein	19832	20851	00	19832	1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	Methyltransf_2	72.4	actNOG.ENOG4100GCU.meta_raw	192.7
CLI4839|pFRP1-2_0006070	hypothetical protein	20862	21599	00	20862	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	actNOG.ENOG4100IVZ.meta_raw	144.3
CLI4839|pFRP1-2_0006071	hypothetical protein	21650	23101	00	21650	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	actNOG.ENOG41011XT.meta_raw	98.2
CLI4839|pFRP1-2_0006072	antibiotic transport system ATP-binding protein	23101	23940	00	23101	-1	contig.1	cds	-	0.0	K09687	152.0	-	0.0	-	0.0	-	0.0	-	0.0	ABC_tran	84.2	actNOG.ENOG4100JCG.meta_raw	240.1
CLI4839|pFRP1-2_0006073	hypothetical protein	24131	24322	00	24131	1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	actNOG.ENOG4100YD3.meta_raw	69.9
