LocusID	Annotation	Start	End	Partial	Absolute_Start	Strand	Contig	Type	TIGR	TIGR_bitscore	KEGG	KEGG_bitscore	resfam	resfam_bitscore	dbCAN	dbCAN_bitscore	NRPS	NRPS_bitscore	antiSMASH	antiSMASH_bitscore	PFAM	PFAM_bitscore	actNOG	actNOG_bitscore
PseP1|PseP1_0000001	hypothetical partial partial partial partial protein	1	189	10	1	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0
PseP1|PseP1_0000002	heptaprenyl diphosphate synthase	467	1459	00	467	-1	contig.1	cds	-	0.0	K00805	300.2	-	0.0	-	0.0	-	0.0	-	0.0	polyprenyl_synt	197.2	actNOG.ENOG4100CQH.meta_raw	482.1
PseP1|PseP1_0000003	proton-translocating NADH-quinone oxidoreductase, chain N	1493	3118	00	1493	-1	contig.1	cds	TIGR01770	370.9	K00342	219.4	-	0.0	-	0.0	-	0.0	-	0.0	Proton_antipo_M	245.3	actNOG.ENOG4100C59.meta_raw	720.6
PseP1|PseP1_0000004	proton-translocating NADH-quinone oxidoreductase, chain M	3115	4773	00	3115	-1	contig.1	cds	TIGR01972	542.9	K00342	641.2	-	0.0	-	0.0	-	0.0	-	0.0	Proton_antipo_M	204.3	actNOG.ENOG4100CVU.meta_raw	692.1
PseP1|PseP1_0000005	proton-translocating NADH-quinone oxidoreductase, chain L	4770	6725	00	4770	-1	contig.1	cds	TIGR01974	728.1	K05568	305.6	-	0.0	-	0.0	-	0.0	-	0.0	Proton_antipo_N,Proton_antipo_M	80.2,283.3	actNOG.ENOG4100CH1.meta_raw	818.1
PseP1|PseP1_0000006	hypothetical protein	6738	7037	00	6738	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	Oxidored_q2	85.3	actNOG.ENOG4100MYP.meta_raw	165.9
PseP1|PseP1_0000007	NADH dehydrogenase I subunit J	7034	7888	00	7034	-1	contig.1	cds	-	0.0	K00339	266.9	-	0.0	-	0.0	-	0.0	-	0.0	Oxidored_q3	103.6	actNOG.ENOG4100H1F.meta_raw	325.4
PseP1|PseP1_0000008	NADH-quinone oxidoreductase, chain I	7885	8424	00	7885	-1	contig.1	cds	TIGR01971	132.7	K00171	46.3	-	0.0	-	0.0	-	0.0	-	0.0	Fer4_7	43.2	actNOG.ENOG4100HDN.meta_raw	327.8
PseP1|PseP1_0000009	NADH dehydrogenase I subunit H	8425	9714	00	8425	-1	contig.1	cds	-	0.0	K00337	534.7	-	0.0	-	0.0	-	0.0	-	0.0	NADHdh	406.0	actNOG.ENOG4100BK7.meta_raw	615.3
PseP1|PseP1_0000010	NADH-quinone oxidoreductase, chain G	9711	12152	00	9711	-1	contig.1	cds	TIGR01973	565.4	K00336	845.0	-	0.0	-	0.0	-	0.0	-	0.0	Fer2_4,NADH-G_4Fe-4S_3,Molybdop_Fe4S4,Molybdopterin,Molydop_binding	59.5,58.0,30.4,59.0,40.6	actNOG.ENOG41014N3.meta_raw	1256.1
PseP1|PseP1_0000011	NADH-quinone oxidoreductase, F subunit	12149	13531	00	12149	-1	contig.1	cds	TIGR01959	605.7	K00436	211.3	-	0.0	-	0.0	-	0.0	-	0.0	Complex1_51K,SLBB,NADH_4Fe-4S	157.9,40.7,106.3	actNOG.ENOG4100C0Q.meta_raw	730.3
PseP1|PseP1_0000012	NADH dehydrogenase I subunit E	13536	14366	00	13536	-1	contig.1	cds	-	0.0	K00334	270.9	-	0.0	-	0.0	-	0.0	-	0.0	2Fe-2S_thioredx	146.6	actNOG.ENOG4100CEV.meta_raw	326.2
PseP1|PseP1_0000013	NADH dehydrogenase I, D subunit	14363	15715	00	14363	-1	contig.1	cds	TIGR01962	544.6	K00329	146.3	-	0.0	-	0.0	-	0.0	-	0.0	Complex1_49kDa	353.4	actNOG.ENOG4100CXA.meta_raw	763.1
PseP1|PseP1_0000014	NADH (or F420H2) dehydrogenase, subunit C	15712	16527	00	15712	-1	contig.1	cds	TIGR01961	138.1	K00332	241.9	-	0.0	-	0.0	-	0.0	-	0.0	Complex1_30kDa	148.8	actNOG.ENOG4100CF7.meta_raw	378.1
PseP1|PseP1_0000015	NADH-quinone oxidoreductase, B subunit	16524	17231	00	16524	-1	contig.1	cds	TIGR01957	236.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	Oxidored_q6	86.3	actNOG.ENOG4100CEC.meta_raw	332.9
PseP1|PseP1_0000016	hypothetical protein	17239	17604	00	17239	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	Oxidored_q4	102.7	actNOG.ENOG4100KJK.meta_raw	181.0
PseP1|PseP1_0000017	acetyl-CoA synthetase partial partial partial partial protein	1	813	10	18328	-1	contig.2	cds	-	0.0	K01895	283.3	-	0.0	-	0.0	-	0.0	AMP-binding	125.2	ACAS_N,AMP-binding	68.5,133.1	actNOG.ENOG41014RH.meta_raw	458.5
PseP1|PseP1_0000018	hydroxypyruvate isomerase partial partial partial partial protein	1	1047	10	19493	-1	contig.3	cds	-	0.0	K01816	57.2	-	0.0	-	0.0	-	0.0	-	0.0	AP_endonuc_2,Glyoxalase_5	108.7,27.3	actNOG.ENOG4100CDS.meta_raw	501.9
PseP1|PseP1_0000019	hypothetical partial partial partial partial protein	1037	1348	01	20529	-1	contig.3	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	actNOG.ENOG4100HI0.meta_raw	157.0
PseP1|PseP1_0000020	putative 3-isopropylmalate dehydrogenase	30	1070	00	20871	-1	contig.4	cds	TIGR00169	263.1	K00052	467.0	-	0.0	-	0.0	-	0.0	-	0.0	Iso_dh	296.1	actNOG.ENOG4100U8V.meta_raw	559.2
PseP1|PseP1_0000021	alkanesulfonate monooxygenase	1342	2358	00	22183	1	contig.4	cds	-	0.0	K04091	27.6	-	0.0	-	0.0	-	0.0	-	0.0	Bac_luciferase	96.1	actNOG.ENOG4100BGS.meta_raw	534.4
PseP1|PseP1_0000022	D-3-phosphoglycerate dehydrogenase	2515	4125	00	23356	-1	contig.4	cds	TIGR01327	616.2	K00058	492.8	-	0.0	-	0.0	-	0.0	-	0.0	2-Hacid_dh_C,ACT	204.9,33.0	actNOG.ENOG410150G.meta_raw	758.7
