LocusID	Annotation	Start	End	Partial	Absolute_Start	Strand	Contig	Type	TIGR	TIGR_bitscore	KEGG	KEGG_bitscore	resfam	resfam_bitscore	dbCAN	dbCAN_bitscore	NRPS	NRPS_bitscore	antiSMASH	antiSMASH_bitscore	PFAM	PFAM_bitscore	actNOG	actNOG_bitscore
CCP3|CCP3_0000001	ATP-binding cassette, subfamily B, bacterial partial partial partial partial protein	3	1994	10	3	-1	contig.1	cds	-	0.0	K06147	701.2	ABC_efflux	305.3	-	0.0	-	0.0	-	0.0	ABC_membrane,ABC_tran	163.8,119.1	actNOG.ENOG4100BIG.meta_raw	818.5
CCP3|CCP3_0000002	hypothetical protein	2123	2293	00	2123	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0
CCP3|CCP3_0000003	AraC family transcriptional regulator	2690	3745	00	2690	-1	contig.1	cds	-	0.0	K07506	33.7	-	0.0	-	0.0	-	0.0	-	0.0	Arabinose_bd,HTH_18	136.6,54.3	actNOG.ENOG4100CVE.meta_raw	391.0
CCP3|CCP3_0000004	esterase / lipase	3843	5417	00	3843	1	contig.1	cds	-	0.0	K01066	106.7	-	0.0	-	0.0	-	0.0	-	0.0	Pyr_redox_2	35.6	actNOG.ENOG4100DC0.meta_raw	738.3
CCP3|CCP3_0000005	acetoacetyl-CoA reductase	5414	6277	00	5414	1	contig.1	cds	-	0.0	K00023	113.6	-	0.0	-	0.0	-	0.0	-	0.0	adh_short	160.8	actNOG.ENOG4100CAN.meta_raw	340.4
CCP3|CCP3_0000006	def peptide deformylase	6274	7173	00	6274	1	contig.1	cds	-	0.0	K06889	76.9	-	0.0	-	0.0	-	0.0	-	0.0	Abhydrolase_6	75.4	actNOG.ENOG41014Z3.meta_raw	269.5
CCP3|CCP3_0000007	hypothetical protein	7119	7508	00	7119	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	actNOG.ENOG4100TCD.meta_raw	125.6
CCP3|CCP3_0000008	kynB arylformamidase	169	1104	00	7739	-1	contig.2	cds	-	0.0	K07130	58.8	-	0.0	-	0.0	-	0.0	-	0.0	Cyclase	75.5	actNOG.ENOG4100HHR.meta_raw	604.7
CCP3|CCP3_0000009	K01453 family protein	1127	2473	00	8697	-1	contig.2	cds	-	0.0	K01453	136.6	-	0.0	-	0.0	-	0.0	-	0.0	Beta-lactamase	84.3	actNOG.ENOG4100RGG.meta_raw	318.7
CCP3|CCP3_0000010	putative MIP family channel proteins	2534	3328	00	10104	-1	contig.2	cds	TIGR00861	133.1	K06188	179.4	-	0.0	-	0.0	-	0.0	-	0.0	MIP	151.0	actNOG.ENOG4100H7I.meta_raw	284.2
CCP3|CCP3_0000011	hypothetical protein	3415	3684	00	10985	-1	contig.2	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	HTH_31	51.4	actNOG.ENOG4100Q08.meta_raw	127.2
CCP3|CCP3_0000012	methionine aminopeptidase, type I	3769	4596	00	11339	1	contig.2	cds	TIGR00500	228.2	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	Peptidase_M24	143.6	actNOG.ENOG4100BXJ.meta_raw	433.9
CCP3|CCP3_0000013	hypothetical protein	4603	5034	00	12173	1	contig.2	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	GtrA	61.0	actNOG.ENOG4100NT3.meta_raw	146.9
CCP3|CCP3_0000014	SDR family mycofactocin-dependent oxidoreductase	5041	5859	00	12611	-1	contig.2	cds	TIGR03971	320.3	K03366	159.2	-	0.0	-	0.0	-	0.0	-	0.0	adh_short	159.5	actNOG.ENOG4100GHK.meta_raw	292.7
CCP3|CCP3_0000015	hypothetical protein	6107	6313	00	13677	1	contig.2	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0
CCP3|CCP3_0000016	hypothetical protein	6317	6916	00	13887	-1	contig.2	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	AHSA1	65.5	actNOG.ENOG4100HV8.meta_raw	196.6
CCP3|CCP3_0000017	hypothetical protein	7078	7563	00	14648	1	contig.2	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	Abhydrolase_1	26.0	actNOG.ENOG4100CMF.meta_raw	217.0
