LocusID	Annotation	Start	End	Partial	Absolute_Start	Strand	Contig	Type	TIGR	TIGR_bitscore	KEGG	KEGG_bitscore	resfam	resfam_bitscore	dbCAN	dbCAN_bitscore	NRPS	NRPS_bitscore	antiSMASH	antiSMASH_bitscore	PFAM	PFAM_bitscore	actNOG	actNOG_bitscore
CLI4613|CLI4613_0000001	hypothetical partial partial partial partial protein	2	70	10	2	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0
CLI4613|CLI4613_0000002	putative orotate phosphoribosyltransferase	67	384	00	67	-1	contig.1	cds	TIGR00336	73.5	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	Pribosyltran	34.0	actNOG.ENOG4100WM9.meta_raw	152.2
CLI4613|CLI4613_0000003	acetoacetyl-CoA reductase	619	1020	00	619	-1	contig.1	cds	-	0.0	K00023	37.1	-	0.0	-	0.0	-	0.0	-	0.0	adh_short	46.7	actNOG.ENOG41014TN.meta_raw	174.2
CLI4613|CLI4613_0000004	hypothetical protein	1861	2664	00	1861	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0
CLI4613|CLI4613_0000005	hypothetical protein	3004	3144	00	3004	1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0
CLI4613|CLI4613_0000006	AraC family transcriptional regulator	3553	4401	00	3553	-1	contig.1	cds	-	0.0	K13652	46.7	-	0.0	-	0.0	-	0.0	-	0.0	HTH_18	59.0	actNOG.ENOG4100K3V.meta_raw	209.1
CLI4613|CLI4613_0000007	adenosine deaminase	4373	5392	00	4373	-1	contig.1	cds	TIGR01430	347.7	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	A_deaminase	236.5	actNOG.ENOG4100CJM.meta_raw	434.0
CLI4613|CLI4613_0000008	3-oxoacyl-(acyl-carrier protein) reductase	5447	6484	00	5447	-1	contig.1	cds	-	0.0	K00059	45.8	-	0.0	-	0.0	-	0.0	-	0.0	adh_short	54.8	actNOG.ENOG41014TN.meta_raw	120.0
CLI4613|CLI4613_0000009	hypothetical protein	6580	7227	00	6580	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	actNOG.ENOG4100MJ4.meta_raw	194.0
CLI4613|CLI4613_0000010	hypothetical protein	7310	8146	00	7310	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	actNOG.ENOG4100NZU.meta_raw	167.3
CLI4613|CLI4613_0000011	hypothetical protein	8143	8478	00	8143	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	T7SS_ESX_EspC	26.1	actNOG.ENOG4100NB3.meta_raw	29.0
CLI4613|CLI4613_0000012	hypothetical protein	8475	8804	00	8475	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	YbaB_DNA_bd	35.5	actNOG.ENOG41012AB.meta_raw	72.1
CLI4613|CLI4613_0000013	ATP-dependent chaperone ClpB	8855	11476	00	8855	-1	contig.1	cds	TIGR03346	1306.1	K03696	548.9	-	0.0	-	0.0	-	0.0	-	0.0	Clp_N,Clp_N,AAA,AAA_2,ClpB_D2-small	37.6,55.7,46.5,183.1,88.0	actNOG.ENOG4100C5M.meta_raw	1494.9
CLI4613|CLI4613_0000014	K07006 family protein	11870	12643	00	11870	-1	contig.1	cds	-	0.0	K07006	158.7	-	0.0	-	0.0	-	0.0	-	0.0	Pyridox_oxidase	46.7	actNOG.ENOG4100J2C.meta_raw	324.2
CLI4613|CLI4613_0000015	nitric oxide dioxygenase	12957	14129	00	12957	1	contig.1	cds	-	0.0	K05916	170.5	-	0.0	-	0.0	-	0.0	-	0.0	Globin,FAD_binding_6,NAD_binding_1	48.8,52.6,45.7	actNOG.ENOG4100D0A.meta_raw	534.0
CLI4613|CLI4613_0000016	hypothetical protein	14191	15000	00	14191	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	TauD	78.0	actNOG.ENOG4100S84.meta_raw	42.9
CLI4613|CLI4613_0000017	peptide/nickel transport system permease protein	15058	15903	00	15058	-1	contig.1	cds	-	0.0	K02033	40.5	-	0.0	-	0.0	-	0.0	-	0.0	BPD_transp_1	89.9	actNOG.ENOG4100FYR.meta_raw	247.8
CLI4613|CLI4613_0000018	peptide/nickel transport system permease protein	15915	16856	00	15915	-1	contig.1	cds	-	0.0	K02033	280.3	-	0.0	-	0.0	-	0.0	-	0.0	BPD_transp_1	101.4	actNOG.ENOG4100FMC.meta_raw	238.8
CLI4613|CLI4613_0000019	peptide/nickel transport system substrate-binding protein	16853	18412	00	16853	-1	contig.1	cds	-	0.0	K02035	225.8	-	0.0	-	0.0	-	0.0	-	0.0	SBP_bac_5	248.2	actNOG.ENOG4100D9N.meta_raw	440.0
CLI4613|CLI4613_0000020	MFS transporter bicyclomycin/chloramphenicol	18568	19875	00	18568	1	contig.1	cds	-	0.0	K07552	52.7	-	0.0	-	0.0	-	0.0	-	0.0	MFS_1	77.0	actNOG.ENOG4100CPS.meta_raw	502.5
CLI4613|CLI4613_0000021	hypothetical protein	19964	20437	00	19964	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	MerR_1	57.4	actNOG.ENOG4100MUC.meta_raw	193.9
CLI4613|CLI4613_0000022	putative chaperone protein DnaJ	20443	21669	00	20443	-1	contig.1	cds	TIGR02349	373.1	K03686	390.0	-	0.0	-	0.0	-	0.0	-	0.0	DnaJ,DnaJ_C	87.3,121.5	actNOG.ENOG4100D1T.meta_raw	560.4
CLI4613|CLI4613_0000023	hypothetical protein	21767	22489	00	21767	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	GrpE	107.9	actNOG.ENOG4100K04.meta_raw	226.2
CLI4613|CLI4613_0000024	chaperone protein DnaK	22525	24399	00	22525	-1	contig.1	cds	TIGR02350	911.8	K03569	65.5	-	0.0	-	0.0	-	0.0	-	0.0	HSP70,HSP70	101.4,725.2	actNOG.ENOG4100BYY.meta_raw	1113.4
CLI4613|CLI4613_0000025	hypothetical protein	25322	25876	00	25322	1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	DUF3558	59.9	actNOG.ENOG4100YX5.meta_raw	34.9
CLI4613|CLI4613_0000026	hypothetical protein	25997	26332	00	25997	1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	PE	28.3	actNOG.ENOG410115R.meta_raw	31.8
CLI4613|CLI4613_0000027	hypothetical protein	26342	27766	00	26342	1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0
CLI4613|CLI4613_0000028	hypothetical protein	27763	28581	00	27763	1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	ESX-1_EspG	97.8	actNOG.ENOG4100H4Q.meta_raw	110.0
CLI4613|CLI4613_0000029	lipoprotein Spr	28588	29616	00	28588	-1	contig.1	cds	-	0.0	K13694	44.4	-	0.0	-	0.0	-	0.0	-	0.0	NLPC_P60	71.9	actNOG.ENOG4100FYT.meta_raw	400.9
CLI4613|CLI4613_0000030	hypothetical protein	29613	30209	00	29613	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	actNOG.ENOG4100PJ9.meta_raw	215.0
