LocusID	Annotation	Start	End	Partial	Absolute_Start	Strand	Contig	Type	TIGR	TIGR_bitscore	KEGG	KEGG_bitscore	resfam	resfam_bitscore	dbCAN	dbCAN_bitscore	NRPS	NRPS_bitscore	antiSMASH	antiSMASH_bitscore	PFAM	PFAM_bitscore	actNOG	actNOG_bitscore
CLI7460|CLI7460_0000001	TetR/AcrR family transcriptional regulator, acrAB operon repressor partial partial partial partial protein	2	595	10	2	1	contig.1	cds	-	0.0	K03577	25.7	-	0.0	-	0.0	-	0.0	-	0.0	TetR_N	35.8	actNOG.ENOG4100IMU.meta_raw	202.1
CLI7460|CLI7460_0000002	adenylosuccinate lyase	648	2066	00	648	1	contig.1	cds	TIGR00928	414.9	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	Lyase_1,ADSL_C	79.3,51.1	actNOG.ENOG4100BM1.meta_raw	726.4
CLI7460|CLI7460_0000003	phosphoribosylaminoimidazole-succinocarboxamide synthase	2063	2920	00	2063	1	contig.1	cds	TIGR00081	215.5	K01923	373.0	-	0.0	-	0.0	-	0.0	-	0.0	SAICAR_synt	308.3	actNOG.ENOG4100BZT.meta_raw	428.1
CLI7460|CLI7460_0000004	hypothetical protein	3045	3638	00	3045	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	Flavoprotein	44.9	actNOG.ENOG4100M7S.meta_raw	236.1
CLI7460|CLI7460_0000005	hypothetical protein	3652	4602	00	3652	-1	contig.1	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	Sugar-bind	138.0	actNOG.ENOG4100H11.meta_raw	369.7
CLI7460|CLI7460_0000006	threonine 3-dehydrogenase	4760	5857	00	4760	1	contig.1	cds	-	0.0	K00060	208.9	-	0.0	-	0.0	-	0.0	-	0.0	ADH_N,ADH_zinc_N	82.9,67.5	actNOG.ENOG4100CHX.meta_raw	410.4
CLI7460|CLI7460_0000007	K07001 family protein	876	2006	00	6767	-1	contig.2	cds	-	0.0	K07001	100.2	-	0.0	-	0.0	-	0.0	-	0.0	Patatin	63.3	actNOG.ENOG4100S7W.meta_raw	94.5
CLI7460|CLI7460_0000008	putative integrative and conjugative element protein, VC0181 family	1988	4603	00	7879	-1	contig.2	cds	TIGR02256	51.9	K03148	61.5	-	0.0	-	0.0	-	0.0	-	0.0	Prok-E2_A,ThiF,Prok-JAB	67.8,61.3,46.3	actNOG.ENOG4100BX6.meta_raw	111.2
CLI7460|CLI7460_0000009	competence protein ComEC	4666	5973	00	10557	-1	contig.2	cds	-	0.0	K02238	40.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	actNOG.ENOG410143F.meta_raw	31.3
CLI7460|CLI7460_0000010	hypothetical protein	6630	7043	00	12521	1	contig.2	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0
CLI7460|CLI7460_0000011	hypothetical protein	8292	9131	00	14183	-1	contig.2	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0
CLI7460|CLI7460_0000012	hypothetical protein	9202	9870	00	15093	-1	contig.2	cds	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	-	0.0	actNOG.ENOG410101G.meta_raw	40.8
CLI7460|CLI7460_0000013	putative transposase	10034	11080	00	15925	-1	contig.2	cds	-	0.0	K07497	71.2	-	0.0	-	0.0	-	0.0	-	0.0	LZ_Tnp_IS481,rve	56.8,136.7	actNOG.ENOG4100DMU.meta_raw	553.8
